Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1724401,Guliston shahri,Город Гулистан,Gulistan city,75.0,54.0,46.0,40.0,13.0,12.0,13.0,9.0,8.0,9.0,1.0,0.0,3.0,1.0
1724410,Shirin shahri,Город Ширин,Shirin city,4.0,4.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1724413,Yangiyer shahri,Город Янгиер,Yangier city,6.0,10.0,5.0,3.0,6.0,2.0,4.0,5.0,6.0,6.0,1.0,0.0,0.0,0.0
1724206,Oqoltin tumani,Акалтынский район,Akaltyn  district,4.0,4.0,5.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0
1724212,Boyovut tumani,Баяутский район,Bayaut district,11.0,15.0,7.0,9.0,9.0,9.0,6.0,2.0,4.0,5.0,2.0,0.0,0.0,0.0
1724216,Sayxunobod tumani,Сайхунабадский район,Saykhunabad district,14.0,19.0,7.0,11.0,10.0,12.0,7.0,13.0,10.0,14.0,3.0,1.0,3.0,0.0
1724220,Guliston tumani,Гулистанский район,Gulistan district,5.0,3.0,0.0,1.0,7.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0
1724226,Sardoba tumani,Сардобский район,Sardoba district,3.0,6.0,3.0,3.0,3.0,3.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0
1724228,Mirzaobod tumani,Мирзаабадский район,Mirzaabad district,3.0,2.0,1.0,1.0,8.0,4.0,3.0,1.0,5.0,2.0,0.0,1.0,0.0,2.0
1724231,Sirdaryo tumani,Сырдарьинский район,Syrdarya district,30.0,42.0,34.0,26.0,21.0,14.0,16.0,8.0,20.0,11.0,1.0,0.0,2.0,1.0
1724235,Xovos tumani,Хавасский район,Khovos district,14.0,9.0,15.0,15.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,0.0,2.0,1.0
1727,Toshkent viloyati,Ташкентская область,Tashkent region,598.0,639.0,546.0,407.0,358.0,280.0,220.0,175.0,242.0,142.0,14.0,9.0,9.0,3.0
1727401,Nurafshon shahri,Город Нурафшон,Nurafshan city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
1727404,Olmaliq shahri,Город Алмалык,Almalyk city,27.0,24.0,13.0,10.0,3.0,11.0,8.0,6.0,7.0,4.0,0.0,0.0,0.0,0.0
1727407,Angren shahri,Город Ангрен,Angren city,47.0,44.0,58.0,33.0,39.0,17.0,17.0,9.0,15.0,7.0,1.0,3.0,0.0,0.0
1727413,Bekobod shahri,Город Бекабад,Bekabad city,37.0,38.0,19.0,21.0,15.0,11.0,9.0,5.0,8.0,4.0,0.0,0.0,3.0,1.0
1727419,Chirchiq shahri,Город Чиpчик,Chirchik city,23.0,23.0,19.0,10.0,16.0,13.0,14.0,6.0,11.0,6.0,0.0,2.0,1.0,1.0
1727415,Ohangaron shahri,Город Ахангаран,Akhangaran city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
1727424,Yangiyo‘lshahri,Город Янгиюль,Yangiyul city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,1.0
